title,title_KO,title_ORG,type,genres,genres_KO,releaseYear,length,ratings,production_countries,imdbAverageRating,imdbNumVotes,isAvaliableInDifferentPlatform,platforms,director,best_rank,top10_period,top100_period,top1000_period,length_in_minutes
kalifat,칼리프의 나라,Kalifat,tv,"Dramas, War, Thriller, Crime","드라마, 전쟁, 스릴러, 범죄",2020,48분,N/A,스웨덴,8.2,23k,False,"Netflix, Netflix basic with Ads",Goran Kapetanović,4,2 DAYS,7 DAYS,392 DAYS,48.0
the-ladies-with-style,THE LADIES WITH STYLE,Banyana Ba Style,movie,Documentary,다큐멘터리,2023,1시간 14분,12+,남아프리카공화국,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,35,0 DAYS,2 DAYS,7 DAYS,74.0
bordeless-ae-group-documentary,BORDELESS – Aぇ! GROUP DOCUMENTARY,BORDERLESS　Aぇ! group デビューまでのキセキ,tv,Unknown,,2024,36분,12+,일본,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,219,0 DAYS,0 DAYS,6 DAYS,36.0
the-american-barbecue-showdown,아메리칸 바비큐 최후의 마스터,Barbecue Showdown,tv,Reality-TV,Reality TV,2020,44분,12,미국,7.2,2k,False,"Netflix, Netflix basic with Ads",N/A,28,0 DAYS,5 DAYS,35 DAYS,44.0
deo-yunion,더 유니온,The Union,movie,"Action, Comedy, Thriller","액션, 코미디, 스릴러",2024,1시간 49분,15,미국,5.4,43k,False,"Netflix, Netflix basic with Ads",Julian Farino,2,9 DAYS,34 DAYS,89 DAYS,109.0
ode-to-my-father,국제시장,N/A,movie,"Dramas, War","드라마, 전쟁",2014,2시간 6분,N/A,대한민국,N/A,N/A,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",JK Youn,40,0 DAYS,6 DAYS,244 DAYS,126.0
mr-bachchan,MR BACHCHAN,మిస్టర్‌ బచ్చన్,movie,"Action, Dramas, Romance, Crime, Thriller","액션, 드라마, 로맨스, 범죄, 스릴러",2024,2시간 40분,15+,인도,3.6,5k,False,"Netflix, Netflix basic with Ads",Harish Shankar,312,0 DAYS,0 DAYS,7 DAYS,160.0
naeil,내일,N/A,tv,"Action, Dramas, Sci-Fi, Comedy, Fantasy","액션, 드라마, SF, 코미디, 판타지",2022,1시간 1분,15,대한민국,8.0,14k,False,"Netflix, Netflix basic with Ads",Kim Tae-yun,37,0 DAYS,10 DAYS,248 DAYS,61.0
teen-titans-go,TEEN TITANS GO!,N/A,tv,"Crime, Fantasy, Anime, Action, Dramas, Family, Comedy, Sci-Fi","범죄, 판타지, 애니메이션, 액션, 드라마, 가족, 코미디, SF",2013,18분,7,미국,5.7,26k,False,"Netflix, Netflix basic with Ads",N/A,22,0 DAYS,9 DAYS,582 DAYS,18.0
a-time-called-you,NEOUI SIGAN SOGEURO,A Time Called You,tv,"Romance, Sci-Fi, Dramas, Fantasy","로맨스, SF, 드라마, 판타지",2023,1시간 0분,15,대한민국,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,5,1 DAYS,4 DAYS,188 DAYS,60.0
gangyi-bimil,강의 비밀,El secreto del río,tv,Dramas,드라마,2024,42분,19,멕시코,8.2,1k,False,"Netflix, Netflix basic with Ads",N/A,21,0 DAYS,2 DAYS,23 DAYS,42.0
woman-of-the-hour,오늘의 여자 주인공,Woman of the Hour,movie,"Dramas, Crime, Thriller","드라마, 범죄, 스릴러",2024,1시간 35분,N/A,미국,6.6,26k,False,"Netflix, Netflix basic with Ads",Anna Kendrick,1,13 DAYS,17 DAYS,43 DAYS,95.0
assassins-creed,어쌔신 크리드,Assassin's Creed,movie,"Action, Sci-Fi","액션, SF",2016,1시간 55분,15,"미국, 프랑스, 영국",5.6,211k,True,"Disney Plus, FilmBox+, Netflix, Naver Store, Amazon Prime Video, Watcha, Netflix basic with Ads",Justin Kurzel,2,3 DAYS,66 DAYS,678 DAYS,115.0
godless,그 땅에는 신이 없다,Godless,tv,"Dramas, Western, Action","드라마, 서부, 액션",2017,1시간 5분,19,미국,8.2,82k,False,"Netflix, Netflix basic with Ads",N/A,1,3 DAYS,37 DAYS,1368 DAYS,65.0
sky-kaeseul,SKY 캐슬,N/A,tv,"Comedy, Dramas","코미디, 드라마",2018,55분,15,대한민국,N/A,N/A,True,"Netflix, Disney Plus, Netflix basic with Ads, Naver Store",N/A,1,19 DAYS,54 DAYS,574 DAYS,55.0
mr-peabody-and-sherman,천재강아지 미스터 피바디,Mr. Peabody & Sherman,movie,"Action, Family, Anime, Sci-Fi, Comedy, Fantasy, History","액션, 가족, 애니메이션, SF, 코미디, 판타지, 역사",2014,1시간 32분,N/A,미국,6.8,79k,True,"Netflix, wavve, Naver Store",Rob Minkoff,170,0 DAYS,0 DAYS,54 DAYS,92.0
goyo,고요,Goyo,movie,"Comedy, Dramas, Romance","코미디, 드라마, 로맨스",2024,1시간 48분,N/A,Arjantin,6.5,2k,False,"Netflix, Netflix basic with Ads",Marcos Carnevale,5,2 DAYS,2 DAYS,19 DAYS,108.0
deo-eiteu-syo,THE 8 SHOW,N/A,tv,"Dramas, Thriller, Comedy","드라마, 스릴러, 코미디",2024,52분,19,대한민국,7.2,12k,False,"Netflix, Netflix basic with Ads",Han Jae-rim,1,9 DAYS,32 DAYS,171 DAYS,52.0
far-from-heaven,파 프롬 헤븐,Far from Heaven,movie,"Dramas, Romance, Unknown","드라마, 로맨스, 유럽에서 제작",2002,1시간 47분,N/A,"프랑스, 미국",7.3,50k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Todd Haynes,6,1 DAYS,7 DAYS,104 DAYS,107.0
seuwiteuhom,스위트홈,N/A,tv,"Sci-Fi, Action, Dramas, Fantasy, Horror, Thriller","SF, 액션, 드라마, 판타지, 공포, 스릴러",2020,58분,19,대한민국,7.2,35k,False,"Netflix, Netflix basic with Ads",N/A,1,6 DAYS,35 DAYS,339 DAYS,58.0
peosikyutideu,퍼시큐티드,Persecuted,movie,"Thriller, Action, Dramas","스릴러, 액션, 드라마",2014,1시간 33분,15,미국,N/A,N/A,True,"Netflix, Netflix basic with Ads, Naver Store",Daniel Lusko,4,1 DAYS,2 DAYS,10 DAYS,93.0
the-discovery,디스커버리,The Discovery,movie,"Romance, Sci-Fi, Thriller, Dramas","로맨스, SF, 스릴러, 드라마",2017,1시간 42분,N/A,미국,6.2,38k,False,"Netflix, Netflix basic with Ads",Charlie McDowell,1,12 DAYS,37 DAYS,292 DAYS,102.0
tutujangbuju-neoreul-johahae,투투장부주: 너를 좋아해,偷偷藏不住,tv,Dramas,드라마,2023,45분,12,China,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,3,1 DAYS,7 DAYS,211 DAYS,45.0
ililsihoil,일일시호일,日日是好日,movie,Dramas,드라마,2018,1시간 40분,N/A,일본,N/A,N/A,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Tatsushi Ōmori,10,1 DAYS,4 DAYS,123 DAYS,100.0
teurigeo-weoning,트리거 워닝,Trigger Warning,movie,"Thriller, Action, Crime","스릴러, 액션, 범죄",2024,1시간 46분,N/A,미국,4.6,18k,False,"Netflix, Netflix basic with Ads",Mouly Surya,2,3 DAYS,11 DAYS,131 DAYS,106.0
tagonan-jaeneung-ben-kaseun-seutori,타고난 재능: 벤 카슨 스토리,Gifted Hands: The Ben Carson Story,movie,Dramas,드라마,2009,1시간 26분,12+,미국,7.5,17k,False,"Netflix, Netflix basic with Ads",Thomas Carter,14,0 DAYS,2 DAYS,31 DAYS,86.0
eodeuripeuteu,어드리프트: 우리가 함께한 바다,Adrift,movie,"Thriller, Romance, Action, Dramas, Unknown","스릴러, 로맨스, 액션, 드라마, 유럽에서 제작",2018,1시간 36분,N/A,"미국, China, 아이슬란드",6.6,63k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Baltasar Kormákur,8,1 DAYS,38 DAYS,315 DAYS,96.0
23-aidentiti,23 아이덴티티,Split,movie,"Horror, Thriller","공포, 스릴러",2016,1시간 57분,15,미국,7.3,574k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",M. Night Shyamalan,1,27 DAYS,486 DAYS,2785 DAYS,117.0
jombiga-doeeobeorin-nayi-ddal,좀비가 되어버린 나의 딸,N/A,tv,"Comedy, Sci-Fi, Anime","코미디, SF, 애니메이션",2022,14분,15,대한민국,N/A,N/A,True,"Netflix, Netflix basic with Ads, Watcha",N/A,30,0 DAYS,1 DAYS,9 DAYS,14.0
paweo-obeu-dogeu,파워 오브 도그,The Power of the Dog,movie,"Western, Dramas","서부, 드라마",2021,2시간 6분,15,"영국, 캐나다, 호주, 미국, 뉴질랜드",6.8,197k,False,"Netflix, Netflix basic with Ads",Jane Campion,2,15 DAYS,164 DAYS,387 DAYS,126.0
evil-genius,이블 지니어스: 누가 피자맨을 죽였나?,Evil Genius,tv,"Crime, Documentary","범죄, 다큐멘터리",2018,48분,19,미국,7.5,32k,False,"Netflix, Netflix basic with Ads",Barbara Schroeder,4,2 DAYS,18 DAYS,245 DAYS,48.0
yeosingangrim,YEOSIN-GANGNIM,True Beauty,tv,"Comedy, Dramas, Romance","코미디, 드라마, 로맨스",2020,1시간 15분,15,대한민국,8.0,17k,True,"Netflix, Netflix basic with Ads, Naver Store",Kim Sang-hyub,1,1 DAYS,5 DAYS,168 DAYS,75.0
pop-star-academy-katseye,팝스타 아카데미: KATSEYE,Pop Star Academy: KATSEYE,tv,"Documentary, Music","다큐멘터리, 음악",2024,54분,15,미국,6.6,519,False,"Netflix, Netflix basic with Ads",N/A,25,0 DAYS,2 DAYS,9 DAYS,54.0
meonibaeg,머니백,N/A,movie,"Crime, Comedy, Action, Dramas","범죄, 코미디, 액션, 드라마",2018,1시간 41분,15,대한민국,6.3,205,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Heo Jun-hyeong,15,0 DAYS,1 DAYS,58 DAYS,101.0
heonteoxheonteo,헌터X헌터,HUNTER×HUNTER,tv,"Anime, Action, Sci-Fi, Comedy, Fantasy","애니메이션, 액션, SF, 코미디, 판타지",2011,23분,12,일본,9.0,147k,True,"Netflix, Watcha, Netflix basic with Ads",N/A,24,0 DAYS,24 DAYS,1683 DAYS,23.0
sarangiraneun-geojis,사랑이라는 거짓,Deceitful Love,tv,"Dramas, Romance","드라마, 로맨스",2024,48분,19,이탈리아,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,9,1 DAYS,5 DAYS,25 DAYS,48.0
katla,카틀라,Katla,tv,"Dramas, Thriller, Sci-Fi, Fantasy","드라마, 스릴러, SF, 판타지",2021,45분,19,아이슬란드,7.0,17k,False,"Netflix, Netflix basic with Ads",N/A,1,9 DAYS,40 DAYS,335 DAYS,45.0
ojingeo-geim,OJINGEO GEIM,Squid Game,tv,"Thriller, Action, Dramas","스릴러, 액션, 드라마",2021,55분,19,대한민국,8.0,574k,False,"Netflix, Netflix basic with Ads",N/A,1,80 DAYS,278 DAYS,1147 DAYS,55.0
neulgeun-abbadeul,늙은 아빠들,Old Dads,movie,Comedy,코미디,2023,1시간 44분,N/A,미국,6.2,43k,False,"Netflix, Netflix basic with Ads",Bill Burr,5,5 DAYS,19 DAYS,57 DAYS,104.0
ihoneul-wihayeo,이혼을 위하여,Rozwodnicy,movie,"Comedy, Dramas","코미디, 드라마",2024,1시간 31분,N/A,폴란드,5.7,510,False,"Netflix, Netflix basic with Ads","Michał Chaciński , Radosław Drabik",5,2 DAYS,3 DAYS,8 DAYS,91.0
misyeon-impaseobeul-polaus,미션 임파서블: 폴아웃,Mission: Impossible - Fallout,movie,"Action, Thriller, Unknown","액션, 스릴러, 유럽에서 제작",2018,2시간 27분,15,미국,7.7,386k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Christopher McQuarrie,1,60 DAYS,511 DAYS,2141 DAYS,147.0
kung-fu-panda-4,쿵푸팬더 4,Kung Fu Panda 4,movie,"Comedy, Family, Fantasy, Anime, Action","코미디, 가족, 판타지, 애니메이션, 액션",2024,1시간 34분,N/A,미국,6.3,57k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Mike Mitchell,41,0 DAYS,59 DAYS,244 DAYS,94.0
save-the-children,세이브 더 칠드런: 불후의 콘서트,Save the Children,movie,"Music, Documentary","음악, 다큐멘터리",1973,1시간 39분,12+,미국,7.7,97,False,"Netflix, Netflix basic with Ads",Stan Lathan,12,0 DAYS,4 DAYS,12 DAYS,99.0
we-need-to-talk-about-kevin,케빈에 대하여,We Need to Talk About Kevin,movie,"Dramas, Thriller","드라마, 스릴러",2011,1시간 53분,N/A,"스페인, 영국, 미국",7.5,171k,True,"Netflix, wavve, Netflix basic with Ads",Lynne Ramsay,8,1 DAYS,25 DAYS,1442 DAYS,113.0
sengang-arae,센강 아래,Sous la Seine,movie,"Dramas, Horror, Thriller, Sport, Action","드라마, 공포, 스릴러, 스포츠, 액션",2024,1시간 44분,N/A,프랑스,5.2,31k,False,"Netflix, Netflix basic with Ads",Xavier Gens,5,6 DAYS,32 DAYS,150 DAYS,104.0
ceolyi-son,철의 손,Iron Reign,tv,"Dramas, Thriller, Crime","드라마, 스릴러, 범죄",2024,1시간 2분,19,스페인,6.4,2k,False,"Netflix, Netflix basic with Ads",N/A,13,0 DAYS,11 DAYS,42 DAYS,62.0
the-admiral-roaring-currents,명량,N/A,movie,"History, War, Action, Dramas","역사, 전쟁, 액션, 드라마",2014,1시간 46분,15,대한민국,7.1,13k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Kim Han-min,1,16 DAYS,43 DAYS,373 DAYS,106.0
aiseu-eiji-jigu-daecungdol,아이스 에이지: 지구 대충돌,Ice Age: Collision Course,movie,"Comedy, Action, Anime, Family, Sci-Fi","코미디, 액션, 애니메이션, 가족, SF",2016,1시간 35분,N/A,미국,5.7,78k,True,"wavve, Disney Plus, Netflix, Naver Store, Netflix basic with Ads",Mike Thurmeier,16,0 DAYS,6 DAYS,285 DAYS,95.0
hancock,핸콕,Hancock,movie,"Fantasy, Action, Comedy, Dramas","판타지, 액션, 코미디, 드라마",2008,1시간 32분,N/A,미국,6.4,520k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Peter Berg,8,1 DAYS,11 DAYS,465 DAYS,92.0
below-deck-sailing-yacht,빌로우 덱: 세일링 요트,Below Deck Sailing Yacht,tv,Reality-TV,Reality TV,2020,44분,19,미국,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,1,3 DAYS,6 DAYS,247 DAYS,44.0
dogani,도가니,N/A,movie,"Dramas, Thriller, Crime","드라마, 스릴러, 범죄",2011,2시간 5분,N/A,대한민국,8.0,23k,True,"Netflix, wavve, Netflix basic with Ads",Hwang Dong-hyuk,29,0 DAYS,4 DAYS,121 DAYS,125.0
1899,1899,N/A,tv,"Dramas, Horror, Sci-Fi","드라마, 공포, SF",2022,53분,19,독일,7.3,112k,False,"Netflix, Netflix basic with Ads",N/A,1,15 DAYS,95 DAYS,377 DAYS,53.0
muneunghan-taka,무능한 타카,無能の鷹,tv,"Comedy, Dramas","코미디, 드라마",2024,48분,12+,일본,N/A,N/A,False,"Netflix, Netflix basic with Ads",Yoshiaki Murao,2,4 DAYS,6 DAYS,9 DAYS,48.0
what-women-want,왓 위민 원트,What Women Want,movie,"Comedy, Romance, Fantasy","코미디, 로맨스, 판타지",2000,2시간 2분,15,"영국, 미국",6.5,226k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Nancy Meyers,41,0 DAYS,11 DAYS,193 DAYS,122.0
kingdom-3,킹덤 3: 운명의 불꽃,Kingdom 3: The Flame of Destiny,movie,"Action, History, War","액션, 역사, 전쟁",2024,2시간 9분,15,일본,N/A,N/A,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Shinsuke Sato,232,0 DAYS,0 DAYS,8 DAYS,129.0
deonjeon-aen-deuraegon,던전 앤 드래곤: 도적들의 명예,Dungeons & Dragons: Honor Among Thieves,movie,"Comedy, Action, Fantasy","코미디, 액션, 판타지",2023,2시간 14분,N/A,"미국, 캐나다",7.2,244k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store","Jonathan Goldstein , John Francis Daley",1,60 DAYS,378 DAYS,606 DAYS,134.0
beauty-in-black,뷰티 인 블랙,Beauty in Black,tv,Dramas,드라마,2024,49분,19,미국,4.9,897,False,"Netflix, Netflix basic with Ads",N/A,6,1 DAYS,3 DAYS,11 DAYS,49.0
1987,1987,N/A,movie,"History, Thriller, Dramas","역사, 스릴러, 드라마",2017,2시간 9분,15,대한민국,N/A,N/A,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Jang Joon-hwan,3,2 DAYS,31 DAYS,732 DAYS,129.0
deo-boi-2019,더 보이,Brightburn,movie,"Thriller, Horror, Sci-Fi, Dramas","스릴러, 공포, SF, 드라마",2019,1시간 31분,15,미국,6.1,111k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",David Yarovesky,1,6 DAYS,104 DAYS,742 DAYS,91.0
love-is-a-poison,독연: 독도 과하면 사랑이 된다,毒恋～毒もすぎれば恋となる～,tv,"Thriller, Dramas, Romance","스릴러, 드라마, 로맨스",2024,20분,15+,일본,8.8,33,False,"Netflix, Netflix basic with Ads","Tatsuya Aoki , Hayashi Masataka , Maiko Ouchi",2,1 DAYS,5 DAYS,30 DAYS,20.0
2046,2046,N/A,movie,"Dramas, Unknown, Romance, Sci-Fi","드라마, 유럽에서 제작, 로맨스, SF",2004,2시간 9분,N/A,"이탈리아, 독일, 홍콩, China, 프랑스",7.4,63k,True,"Netflix, wavve, Netflix basic with Ads",Wong Kar-wai,3,3 DAYS,12 DAYS,471 DAYS,129.0
inside-west-coast-customs,INSIDE WEST COAST CUSTOMS,N/A,tv,Reality-TV,Reality TV,2011,44분,12,미국,5.9,632,False,"Netflix, Netflix basic with Ads",N/A,7,1 DAYS,3 DAYS,38 DAYS,44.0
katie,KATIE,N/A,movie,"Documentary, Sport, Unknown","다큐멘터리, 스포츠, 유럽에서 제작",2018,1시간 29분,15+,아일랜드,7.6,322,False,"Netflix, Netflix basic with Ads",N/A,39,0 DAYS,2 DAYS,6 DAYS,89.0
meoggo-gidohago-saranghara,먹고 기도하고 사랑하라,Eat Pray Love,movie,"Dramas, Romance","드라마, 로맨스",2010,2시간 13분,15,미국,5.8,108k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Ryan Murphy,15,0 DAYS,6 DAYS,240 DAYS,133.0
resident-evil,바이오하자드: 더 시리즈,Resident Evil,tv,"Sci-Fi, Dramas, Thriller, Action, Horror","SF, 드라마, 스릴러, 액션, 공포",2022,51분,19,미국,4.2,47k,False,"Netflix, Netflix basic with Ads",N/A,2,5 DAYS,33 DAYS,223 DAYS,51.0
gaandeevadhari-arjuna,간데바다리 아르주나,Gandeevadhari Arjuna,movie,"Action, Thriller","액션, 스릴러",2023,2시간 17분,15+,인도,N/A,N/A,False,"Netflix, Netflix basic with Ads",Praveen Sattaru,8,1 DAYS,3 DAYS,10 DAYS,137.0
a-man-in-full,어느 남자의 완전한 삶,A Man in Full,tv,Dramas,드라마,2024,45분,19,미국,6.5,14k,False,"Netflix, Netflix basic with Ads",N/A,2,7 DAYS,25 DAYS,186 DAYS,45.0
beulru-rog,블루 록,ブルーロック,tv,"Action, Dramas, Anime, Sport, Thriller","액션, 드라마, 애니메이션, 스포츠, 스릴러",2022,24분,15,일본,8.2,16k,True,"Netflix, Watcha, Netflix basic with Ads, Crunchyroll",N/A,13,0 DAYS,4 DAYS,302 DAYS,24.0
gieogyi-bam,기억의 밤,N/A,movie,"Thriller, Crime, Sci-Fi","스릴러, 범죄, SF",2017,1시간 48분,15,대한민국,7.4,50k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Jang Hang-jun,1,5 DAYS,11 DAYS,385 DAYS,108.0
rewind-2023,REWIND,N/A,movie,"Sci-Fi, Dramas, Romance","SF, 드라마, 로맨스",2023,1시간 52분,12+,필리핀 제도,N/A,N/A,False,Netflix,Mae Cruz-Alviar,29,0 DAYS,2 DAYS,14 DAYS,112.0
ketika-berhenti-di-sini,모든 것이 멈춘 순간,Ketika Berhenti di Sini,movie,"Romance, Sci-Fi, Dramas","로맨스, SF, 드라마",2023,1시간 42분,15+,인도네시아,6.1,329,False,"Netflix, Netflix basic with Ads",Umay Shahab,8,1 DAYS,1 DAYS,4 DAYS,102.0
hannah-berner-we-ride-at-dawn,HANNAH BERNER: WE RIDE AT DAWN,N/A,movie,Comedy,코미디,2024,50분,N/A,미국,6.1,547,False,"Netflix, Netflix basic with Ads",N/A,36,0 DAYS,2 DAYS,4 DAYS,50.0
pein-heoseulreoseu,페인 허슬러,Pain Hustlers,movie,"Dramas, Crime","드라마, 범죄",2023,2시간 2분,N/A,"미국, 영국",6.6,49k,False,"Netflix, Netflix basic with Ads",David Yates,2,3 DAYS,32 DAYS,202 DAYS,122.0
ruby-gillman-teenage-kraken,틴에이지 크라켄 루비,Ruby Gillman: Teenage Kraken,movie,"Anime, Action, Comedy, Romance, Family, Fantasy","애니메이션, 액션, 코미디, 로맨스, 가족, 판타지",2023,1시간 31분,N/A,미국,5.7,12k,True,"Netflix, wavve, Netflix basic with Ads",Kirk DeMicco,31,0 DAYS,3 DAYS,139 DAYS,91.0
beasts-of-no-nation,비스트 오브 노 네이션,Beasts of No Nation,movie,"Dramas, War","드라마, 전쟁",2015,2시간 17분,N/A,"미국, 브라질",7.7,88k,False,"Netflix, Netflix basic with Ads",Cary Joji Fukunaga,41,0 DAYS,11 DAYS,225 DAYS,137.0
dear-child,사랑하는 아이,Liebes Kind,tv,"Dramas, Thriller, Crime","드라마, 스릴러, 범죄",2023,48분,15,독일,7.3,29k,False,"Netflix, Netflix basic with Ads","Isabel Kleefeld , Julian Pörksen",1,16 DAYS,45 DAYS,230 DAYS,48.0
the-final-girls,더 파이널 걸스,The Final Girls,movie,"Comedy, Horror, Fantasy, Thriller","코미디, 공포, 판타지, 스릴러",2015,1시간 31분,N/A,미국,6.5,53k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Todd Strauss-Schulson,9,1 DAYS,6 DAYS,209 DAYS,91.0
egsiteu,엑시트,N/A,movie,"Action, Comedy","액션, 코미디",2019,1시간 43분,N/A,대한민국,N/A,N/A,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Lee Sang-geun,1,34 DAYS,144 DAYS,693 DAYS,103.0
cotohwa,초토화,Obliterated,tv,"Dramas, Comedy, Action","드라마, 코미디, 액션",2023,51분,19,미국,6.8,21k,False,"Netflix, Netflix basic with Ads",N/A,1,11 DAYS,39 DAYS,224 DAYS,51.0
one-day-at-a-time,원 데이 앳 어 타임,One Day at a Time,tv,"Comedy, Dramas","코미디, 드라마",2017,28분,15,미국,8.1,19k,False,"Netflix, Netflix basic with Ads",N/A,16,0 DAYS,19 DAYS,864 DAYS,28.0
after-school-doctor,放課後カルテ,N/A,tv,Unknown,,2024,43분,12+,일본,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,16,0 DAYS,2 DAYS,4 DAYS,43.0
lost-in-space,로스트 인 스페이스,Lost in Space,tv,"Sci-Fi, Action, Dramas, Comedy, Family","SF, 액션, 드라마, 코미디, 가족",2018,49분,12,미국,7.3,107k,False,"Netflix, Netflix basic with Ads",N/A,2,9 DAYS,94 DAYS,1755 DAYS,49.0
gen-hoshino-stadium-tour-pop-virus,호시노 겐 스타디움 투어: 팝 바이러스,"星野源 DOME TOUR ""POP VIRUS"" at TOKYO DOME",movie,"Documentary, Music","다큐멘터리, 음악",2019,2시간 33분,12+,일본,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,13,0 DAYS,3 DAYS,16 DAYS,153.0
deo-reilwei-maen-1984nyeon-bopal-amudo-molrassdeon-iyagi,"더 레일웨이 맨: 1984년 보팔, 아무도 몰랐던 이야기",द रेलवे मेन - भोपाल की अनकही कहानी 1984,tv,"Dramas, History, Thriller","드라마, 역사, 스릴러",2023,59분,15,인도,8.5,25k,False,"Netflix, Netflix basic with Ads",Shiv Rawail,1,4 DAYS,20 DAYS,233 DAYS,59.0
crashing,크래싱,Crashing,tv,"Comedy, Dramas, Unknown","코미디, 드라마, 유럽에서 제작",2016,30분,N/A,영국,7.6,27k,False,"Netflix, Netflix basic with Ads",N/A,13,0 DAYS,5 DAYS,340 DAYS,30.0
pogateun-reobeu-2023,포가튼 러브,Forgotten Love,movie,"Dramas, Romance","드라마, 로맨스",2023,2시간 20분,N/A,폴란드,7.5,11k,False,"Netflix, Netflix basic with Ads",Michał Gazda,24,0 DAYS,9 DAYS,203 DAYS,140.0
outlander,아웃랜더,Outlander,tv,"Romance, Dramas, Fantasy, Sci-Fi","로맨스, 드라마, 판타지, SF",2014,1시간 0분,19,미국,8.4,184k,False,"Netflix, Netflix basic with Ads",N/A,1,258 DAYS,2579 DAYS,3228 DAYS,60.0
talog-sarangyi-doju,탈옥: 사랑의 도주,Jailbreak: Love on the Run,movie,"Documentary, Crime","다큐멘터리, 범죄",2024,1시간 28분,N/A,미국,6.4,2k,False,"Netflix, Netflix basic with Ads",Dan Abrams,1,1 DAYS,3 DAYS,13 DAYS,88.0
the-yellow-sea,황해,N/A,movie,"Thriller, Dramas, Action, Crime","스릴러, 드라마, 액션, 범죄",2010,2시간 37분,N/A,대한민국,7.3,23k,True,"Netflix, wavve, Netflix basic with Ads",Na Hong-jin,23,0 DAYS,8 DAYS,463 DAYS,157.0
seoul-spring,서울의 봄,N/A,movie,"Crime, Dramas, History, Thriller, War, Action","범죄, 드라마, 역사, 스릴러, 전쟁, 액션",2023,2시간 22분,N/A,대한민국,N/A,N/A,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Kim Sung-soo,1,22 DAYS,74 DAYS,285 DAYS,142.0
peulrorida-peurojegteu,플로리다 프로젝트,The Florida Project,movie,Dramas,드라마,2017,1시간 52분,15,미국,7.6,132k,True,"Netflix, Netflix basic with Ads, Watcha, Naver Store",Sean Baker,3,4 DAYS,159 DAYS,1723 DAYS,112.0
matilda,마틸다,Matilda,movie,"Fantasy, Comedy, Family, Unknown","판타지, 코미디, 가족, 유럽에서 제작",1996,1시간 38분,N/A,미국,7.0,180k,True,"Netflix, Netflix basic with Ads, Naver Store",Danny DeVito,20,0 DAYS,12 DAYS,438 DAYS,98.0
geudeuli-urireul-barabol-ddae,그들이 우리를 바라볼 때,When They See Us,tv,"Dramas, Crime, History","드라마, 범죄, 역사",2019,1시간 14분,19,미국,8.8,142k,False,"Netflix, Netflix basic with Ads",N/A,7,2 DAYS,43 DAYS,1138 DAYS,74.0
two-weeks-notice,투 윅스 노티스,Two Weeks Notice,movie,"Comedy, Romance","코미디, 로맨스",2002,1시간 41분,N/A,미국,6.2,128k,True,"Netflix, wavve, Naver Store",Marc Lawrence,20,0 DAYS,8 DAYS,101 DAYS,101.0
wicyeo,위쳐,The Witcher,tv,"Sci-Fi, Dramas, Action, Fantasy","SF, 드라마, 액션, 판타지",2019,57분,19,미국,8.0,583k,False,"Netflix, Netflix basic with Ads",N/A,1,54 DAYS,501 DAYS,1778 DAYS,57.0
yagsogyi-nebeoraendeu,약속의 네버랜드,約束のネバーランド,tv,"Dramas, Sci-Fi, Action, Thriller, Horror, Fantasy, Anime","드라마, SF, 액션, 스릴러, 공포, 판타지, 애니메이션",2019,23분,19,일본,8.2,50k,False,"Netflix, Netflix basic with Ads",N/A,3,2 DAYS,26 DAYS,1099 DAYS,23.0
