title,title_KO,title_ORG,type,genres,genres_KO,releaseYear,length,ratings,production_countries,imdbAverageRating,imdbNumVotes,isAvaliableInDifferentPlatform,platforms,director,best_rank,top10_period,top100_period,top1000_period,length_in_minutes
misyeon-impaseobeul,미션 임파서블,Mission: Impossible,movie,"Thriller, Action","스릴러, 액션",1996,1시간 50분,15,미국,7.2,479k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Brian De Palma,2,13 DAYS,158 DAYS,1931 DAYS,110.0
virgin-river,버진리버,Virgin River,tv,"Dramas, Romance","드라마, 로맨스",2019,45분,15,미국,7.4,53k,False,"Netflix, Netflix basic with Ads",N/A,7,3 DAYS,62 DAYS,870 DAYS,45.0
bohoja,보호자,N/A,movie,"Thriller, Dramas, Action","스릴러, 드라마, 액션",2023,1시간 39분,15,대한민국,5.8,994,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Jung Woo-sung,79,0 DAYS,1 DAYS,51 DAYS,99.0
agassi,아가씨,N/A,movie,"Dramas, Romance, Thriller","드라마, 로맨스, 스릴러",2016,2시간 25분,N/A,대한민국,8.1,180k,True,"Netflix, wavve, FilmBox+, Netflix basic with Ads",Park Chan-wook,4,6 DAYS,180 DAYS,2867 DAYS,145.0
jangsongyi-peuriren,장송의 프리렌,葬送のフリーレン,tv,"Action, Sci-Fi, Dramas, Fantasy, Anime","액션, SF, 드라마, 판타지, 애니메이션",2023,25분,15,일본,8.9,26k,True,"Netflix, Crunchyroll, Naver Store, Watcha, Netflix basic with Ads",N/A,3,8 DAYS,49 DAYS,403 DAYS,25.0
keonjeoring-2,컨저링 2,The Conjuring 2: The Enfield Poltergeist,movie,"Horror, Thriller","공포, 스릴러",2016,2시간 14분,15,미국,7.3,310k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",James Wan,4,2 DAYS,82 DAYS,865 DAYS,134.0
deo-peopegteu-keopeul,완전무결한 커플,The Perfect Couple,tv,"Crime, Dramas","범죄, 드라마",2024,51분,19,미국,6.5,48k,False,"Netflix, Netflix basic with Ads",N/A,1,12 DAYS,52 DAYS,80 DAYS,51.0
jeongsughan-seiljeu,정숙한 세일즈,N/A,tv,"Dramas, Comedy","드라마, 코미디",2024,1시간 9분,15,대한민국,7.8,125,False,"Netflix, Netflix basic with Ads",Cho Woong,1,1 DAYS,9 DAYS,24 DAYS,69.0
bimilyi-sup,비밀의 숲,N/A,tv,"Dramas, Thriller, Crime, Romance, Sci-Fi, Comedy","드라마, 스릴러, 범죄, 로맨스, SF, 코미디",2017,1시간 4분,15,대한민국,8.4,11k,True,"Netflix, Watcha, Netflix basic with Ads",Park Hyeon-seok,1,22 DAYS,127 DAYS,2479 DAYS,64.0
no-way-up,노 웨이 업,No Way Up,movie,"Action, Dramas, Thriller, Horror","액션, 드라마, 스릴러, 공포",2024,1시간 30분,15,영국,N/A,N/A,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Claudio Fäh,3,2 DAYS,5 DAYS,99 DAYS,90.0
gabeonaum,가버나움,کفرناحوم,movie,Dramas,드라마,2018,2시간 0분,15,"프랑스, 레바논, 영국, 미국",8.4,110k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Nadine Labaki,6,2 DAYS,42 DAYS,1543 DAYS,120.0
heonteu-po-deo-waildeopipeul,내 인생 특별한 숲속 여행,Hunt for the Wilderpeople,movie,"Action, Comedy, Dramas","액션, 코미디, 드라마",2016,1시간 41분,12+,"영국, 뉴질랜드",7.8,145k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Taika Waititi,3,2 DAYS,59 DAYS,1155 DAYS,101.0
kaos,카오스,Kaos,tv,"Dramas, Fantasy, Comedy, Sci-Fi","드라마, 판타지, 코미디, SF",2024,50분,15,영국,7.5,33k,False,"Netflix, Netflix basic with Ads",N/A,1,21 DAYS,66 DAYS,87 DAYS,50.0
kabion,카비온,N/A,tv,Anime,애니메이션,2023,12분,7,대한민국,N/A,N/A,True,"Netflix, Netflix basic with Ads, Watcha",N/A,79,0 DAYS,1 DAYS,23 DAYS,12.0
archive-81,아카이브 81,Archive 81,tv,"Dramas, Thriller, Sci-Fi, Horror","드라마, 스릴러, SF, 공포",2022,54분,19,미국,7.3,62k,False,"Netflix, Netflix basic with Ads",N/A,1,5 DAYS,45 DAYS,249 DAYS,54.0
sinsegi-ebangerion,신세기 에반게리온,新世紀エヴァンゲリオン,tv,"Dramas, Sci-Fi, Anime, Action","드라마, SF, 애니메이션, 액션",1995,24분,15,일본,8.5,91k,True,"Netflix, Netflix basic with Ads, Naver Store",N/A,1,7 DAYS,39 DAYS,1356 DAYS,24.0
seumateuponeul-ddeoleoddeuryeosseul-bbuninde-2023,스마트폰을 떨어뜨렸을 뿐인데,N/A,movie,"Thriller, Crime, Dramas","스릴러, 범죄, 드라마",2023,1시간 57분,15,대한민국,6.4,11k,False,"Netflix, Netflix basic with Ads",Kim Tae-joon,2,3 DAYS,10 DAYS,205 DAYS,117.0
baby-fever,베이비 피버,Skruk,tv,"Dramas, Comedy, Romance","드라마, 코미디, 로맨스",2022,31분,19,덴마크,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,2,2 DAYS,7 DAYS,187 DAYS,31.0
boy-swallows-universe,우주를 삼킨 소년,Boy Swallows Universe,tv,"Crime, Dramas, Thriller","범죄, 드라마, 스릴러",2024,57분,19,호주,7.9,19k,False,"Netflix, Netflix basic with Ads",N/A,7,3 DAYS,31 DAYS,196 DAYS,57.0
deo-seuteureinjeo,더 스트레인저,The Stranger,movie,"Dramas, Thriller, Crime","드라마, 스릴러, 범죄",2022,1시간 57분,15,"미국, 호주, 영국",6.6,28k,False,"Netflix, Netflix basic with Ads",Thomas M. Wright,2,3 DAYS,30 DAYS,200 DAYS,117.0
