title_x,title_KO,title_ORG,type_x,genres_x,genres_KO,releaseYear_x,length,ratings,production_countries,imdbAverageRating_x,imdbNumVotes_x,isAvaliableInDifferentPlatform,platforms,director,best_rank,top10_period,top100_period,top1000_period,title_y,type_y,genres_y,releaseYear_y,imdbId,imdbAverageRating_y,imdbNumVotes_y,availableCountries
rush-hour,러시아워,Rush Hour,movie,"Comedy, Crime, Action, Thriller","코미디, 범죄, 액션, 스릴러",1998,1시간 38분,,미국,7.0,302k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Brett Ratner,19.0,0 DAYS,3 DAYS,145 DAYS,Rush Hour,movie,"Action, Comedy, Crime",1998.0,tt0120812,7.0,302448.0,"AD, ES, GB, GG, IE, IN, KR, PT"
pomyulreo-weon-bonneungyi-jilju,F1: 본능의 질주,Formula 1: Drive to Survive,tv,"Documentary, Sport","다큐멘터리, 스포츠",2019,40분,15,영국,8.5,53k,False,"Netflix, Netflix basic with Ads",,1.0,8 DAYS,68 DAYS,1486 DAYS,Formula 1: Drive to Survive,tv,"Documentary, Sport",2019.0,tt8289930,8.5,52844.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
paenteom-seuredeu,팬텀 스레드,Phantom Thread,movie,"Dramas, Romance","드라마, 로맨스",2017,2시간 10분,15,미국,7.4,148k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Paul Thomas Anderson,2.0,3 DAYS,118 DAYS,2151 DAYS,Phantom Thread,movie,"Drama, Romance",2017.0,tt5776858,7.4,148398.0,"KR, US"
goldeupinci,더 골드핀치,The Goldfinch,movie,"Dramas, Crime","드라마, 범죄",2019,2시간 29분,15+,미국,6.4,28k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",John Crowley,1.0,1 DAYS,8 DAYS,279 DAYS,The Goldfinch,movie,"Crime, Drama, Mystery",2019.0,tt3864056,6.4,27755.0,KR
kol-mi-bai-yueo-neim,콜 미 바이 유어 네임,Call Me by Your Name,movie,"Romance, Dramas, Unknown","로맨스, 드라마, 유럽에서 제작",2017,2시간 12분,,"미국, 브라질, 프랑스, 이탈리아",7.8,325k,True,"Netflix, wavve, Netflix basic with Ads",Luca Guadagnino,1.0,20 DAYS,443 DAYS,2542 DAYS,Call Me by Your Name,movie,"Drama, Romance",2017.0,tt5726616,7.8,327478.0,"AD, AE, AG, AL, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CL, CO, CR, CU, CY, CZ, DE, DO, DZ, EC, EE, EG, ES, FR, GF, GR, GT, HN, HR, HU, IL, IQ, JM, JO, JP, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MK, MT, MU, MX, NI, NL, NZ, OM, PA, PE, PF, PL, PS, PT, PY, QA, RO, RS, SA, SI, SK, SV, TC, TN, TR, TT, UA, US, UY, VE, YE"
the-karate-kid-part-ii,베스트 키드 2,The Karate Kid Part II,movie,"Dramas, Action, Romance, Family, Sport","드라마, 액션, 로맨스, 가족, 스포츠",1986,1시간 53분,,"China, 미국",6.1,101k,True,"Netflix, Naver Store",John G. Avildsen,40.0,0 DAYS,22 DAYS,143 DAYS,The Karate Kid Part II,movie,"Action, Family, Sport",1986.0,tt0091326,6.1,101366.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CR, CU, CV, CZ, DE, DK, DO, DZ, EC, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LU, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
dagteo-seulrib,닥터 슬립,Doctor Sleep,movie,"Thriller, Fantasy, Horror, Dramas","스릴러, 판타지, 공포, 드라마",2019,2시간 32분,15,미국,7.3,226k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Mike Flanagan,1.0,5 DAYS,227 DAYS,1408 DAYS,Doctor Sleep,movie,"Drama, Fantasy, Horror",2019.0,tt5606664,7.3,225953.0,"AU, BE, JP, KR, NZ"
hustle,허슬,Hustle,movie,"Sport, Comedy, Dramas","스포츠, 코미디, 드라마",2022,1시간 57분,15,미국,7.3,149k,False,"Netflix, Netflix basic with Ads",Jeremiah Zagar,1.0,13 DAYS,52 DAYS,281 DAYS,Hustle,movie,"Comedy, Drama, Sport",2022.0,tt8009428,7.3,149449.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
the-kominsky-method,코민스키 메소드,The Kominsky Method,tv,"Comedy, Dramas","코미디, 드라마",2018,26분,,미국,8.2,45k,False,"Netflix, Netflix basic with Ads",,5.0,6 DAYS,29 DAYS,463 DAYS,The Kominsky Method,tv,"Comedy, Drama",2018.0,tt7255502,8.2,44876.0,"AD, AE, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
paeseuteu-raibeujeu,패스트 라이브즈,Past Lives,movie,"Dramas, Romance","드라마, 로맨스",2023,1시간 46분,,"미국, 대한민국",7.8,135k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Celine Song,1.0,29 DAYS,377 DAYS,535 DAYS,Past Lives,movie,"Drama, Romance",2023.0,tt13238346,7.8,135122.0,"BM, GB, GG, GI, IE, KR, TC"
