title_x,title_KO,title_ORG,type_x,genres_x,genres_KO,releaseYear_x,length,ratings,production_countries,imdbAverageRating_x,imdbNumVotes_x,isAvaliableInDifferentPlatform,platforms,director,best_rank,top10_period,top100_period,top1000_period,title_y,type_y,genres_y,releaseYear_y,imdbId,imdbAverageRating_y,imdbNumVotes_y,availableCountries
a-time-called-you,NEOUI SIGAN SOGEURO,A Time Called You,tv,"Romance, Sci-Fi, Dramas, Fantasy","로맨스, SF, 드라마, 판타지",2023,1시간 0분,15,대한민국,,,False,"Netflix, Netflix basic with Ads",,5.0,1 DAYS,4 DAYS,188 DAYS,A Time Called You,tv,"Drama, Fantasy, Romance",2023.0,tt21627438,7.8,4916.0,"AD, AE, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
woman-of-the-hour,오늘의 여자 주인공,Woman of the Hour,movie,"Dramas, Crime, Thriller","드라마, 범죄, 스릴러",2024,1시간 35분,,미국,6.6,26k,False,"Netflix, Netflix basic with Ads",Anna Kendrick,1.0,13 DAYS,17 DAYS,43 DAYS,Woman of the Hour,movie,"Crime, Drama, Mystery",2023.0,tt7737800,6.6,26178.0,"AD, AG, AU, BB, BE, BG, BM, BS, CH, FJ, FR, GB, GF, GG, GI, HK, HU, ID, IE, IT, JM, JP, KR, LC, LU, MC, MT, NL, NZ, PF, PH, RO, SG, SM, TC, TT, US, ZA"
assassins-creed,어쌔신 크리드,Assassin's Creed,movie,"Action, Sci-Fi","액션, SF",2016,1시간 55분,15,"미국, 프랑스, 영국",5.6,211k,True,"Disney Plus, FilmBox+, Netflix, Naver Store, Amazon Prime Video, Watcha, Netflix basic with Ads",Justin Kurzel,2.0,3 DAYS,66 DAYS,678 DAYS,Assassin's Creed,movie,"Action, Adventure, Sci-Fi",2016.0,tt2094766,5.6,211190.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
godless,그 땅에는 신이 없다,Godless,tv,"Dramas, Western, Action","드라마, 서부, 액션",2017,1시간 5분,19,미국,8.2,82k,False,"Netflix, Netflix basic with Ads",,1.0,3 DAYS,37 DAYS,1368 DAYS,Godless,tv,"Action, Drama, Western",2017.0,tt5516154,8.2,81709.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
far-from-heaven,파 프롬 헤븐,Far from Heaven,movie,"Dramas, Romance, Unknown","드라마, 로맨스, 유럽에서 제작",2002,1시간 47분,,"프랑스, 미국",7.3,50k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Todd Haynes,6.0,1 DAYS,7 DAYS,104 DAYS,Far from Heaven,movie,"Drama, Romance",2002.0,tt0297884,7.3,49899.0,KR
peosikyutideu,퍼시큐티드,Persecuted,movie,"Thriller, Action, Dramas","스릴러, 액션, 드라마",2014,1시간 33분,15,미국,,,True,"Netflix, Netflix basic with Ads, Naver Store",Daniel Lusko,4.0,1 DAYS,2 DAYS,10 DAYS,Persecuted,movie,"Action, Drama, Mystery",2014.0,tt1761005,3.5,1675.0,"IN, KR, PK"
the-discovery,디스커버리,The Discovery,movie,"Romance, Sci-Fi, Thriller, Dramas","로맨스, SF, 스릴러, 드라마",2017,1시간 42분,,미국,6.2,38k,False,"Netflix, Netflix basic with Ads",Charlie McDowell,1.0,12 DAYS,37 DAYS,292 DAYS,The Discovery,movie,"Drama, Romance, Sci-Fi",2017.0,tt5155780,6.2,38058.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW"
tagonan-jaeneung-ben-kaseun-seutori,타고난 재능: 벤 카슨 스토리,Gifted Hands: The Ben Carson Story,movie,Dramas,드라마,2009,1시간 26분,12+,미국,7.5,17k,False,"Netflix, Netflix basic with Ads",Thomas Carter,14.0,0 DAYS,2 DAYS,31 DAYS,Gifted Hands: The Ben Carson Story,movie,"Biography, Drama",2009.0,tt1295085,7.5,16949.0,"AG, AR, AU, AZ, BB, BM, BO, BR, BS, BY, BZ, CA, CH, CL, CO, CR, CU, CY, DO, DZ, EC, FJ, FR, GB, GF, GG, GI, GR, GT, HK, HN, ID, IE, IT, JM, KR, LC, MA, MC, MD, MT, MU, MX, MY, NI, NZ, PA, PE, PF, PH, PT, PY, SG, SM, SV, TC, TH, TN, TT, TW, UA, UY, VE"
eodeuripeuteu,어드리프트: 우리가 함께한 바다,Adrift,movie,"Thriller, Romance, Action, Dramas, Unknown","스릴러, 로맨스, 액션, 드라마, 유럽에서 제작",2018,1시간 36분,,"미국, China, 아이슬란드",6.6,63k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Baltasar Kormákur,8.0,1 DAYS,38 DAYS,315 DAYS,Adrift,movie,"Action, Adventure, Biography",2018.0,tt6306064,6.6,62980.0,"IT, KR, SM, TH"
23-aidentiti,23 아이덴티티,Split,movie,"Horror, Thriller","공포, 스릴러",2016,1시간 57분,15,미국,7.3,574k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",M. Night Shyamalan,1.0,27 DAYS,486 DAYS,2785 DAYS,Split,movie,"Horror, Thriller",2016.0,tt4972582,7.3,573886.0,"AD, AG, AL, AO, AR, AZ, BA, BB, BE, BG, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DO, EC, EE, ES, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HN, HR, HU, IE, IT, JM, JP, KE, KR, LC, LT, LU, LV, MC, MD, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, PA, PE, PF, PL, PT, PY, RO, RS, SC, SI, SK, SM, SN, SV, TC, TR, TT, TZ, UA, UG, UY, VE, ZA, ZM, ZW"
23-aidentiti,23 아이덴티티,Split,movie,"Horror, Thriller","공포, 스릴러",2016,1시간 57분,15,미국,7.3,574k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",M. Night Shyamalan,1.0,27 DAYS,486 DAYS,2785 DAYS,Split,movie,"Action, Drama, Sport",2016.0,tt6147768,6.6,290.0,KR
paweo-obeu-dogeu,파워 오브 도그,The Power of the Dog,movie,"Western, Dramas","서부, 드라마",2021,2시간 6분,15,"영국, 캐나다, 호주, 미국, 뉴질랜드",6.8,197k,False,"Netflix, Netflix basic with Ads",Jane Campion,2.0,15 DAYS,164 DAYS,387 DAYS,The Power of the Dog,movie,"Drama, Western",2021.0,tt10293406,6.8,197188.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
yeosingangrim,YEOSIN-GANGNIM,True Beauty,tv,"Comedy, Dramas, Romance","코미디, 드라마, 로맨스",2020,1시간 15분,15,대한민국,8.0,17k,True,"Netflix, Netflix basic with Ads, Naver Store",Kim Sang-hyub,1.0,1 DAYS,5 DAYS,168 DAYS,True Beauty,tv,"Comedy, Drama, Romance",2020.0,tt13274038,8.0,17187.0,"AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, DE, DO, DZ, EC, EE, EG, FJ, FR, GB, GF, GG, GH, GI, GQ, GT, HK, HN, ID, IE, IN, IQ, IS, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NZ, OM, PA, PE, PF, PH, PK, PS, PY, QA, RS, SA, SC, SG, SI, SK, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
pop-star-academy-katseye,팝스타 아카데미: KATSEYE,Pop Star Academy: KATSEYE,tv,"Documentary, Music","다큐멘터리, 음악",2024,54분,15,미국,6.6,519,False,"Netflix, Netflix basic with Ads",,25.0,0 DAYS,2 DAYS,9 DAYS,Pop Star Academy: KATSEYE,tv,"Documentary, Music",2024.0,tt28810495,6.6,519.0,"AD, AE, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
sarangiraneun-geojis,사랑이라는 거짓,Deceitful Love,tv,"Dramas, Romance","드라마, 로맨스",2024,48분,19,이탈리아,,,False,"Netflix, Netflix basic with Ads",,9.0,1 DAYS,5 DAYS,25 DAYS,Deceitful Love,tv,"Drama, Romance",2024.0,tt27031470,5.6,1819.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FJ, FR, GB, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
katla,카틀라,Katla,tv,"Dramas, Thriller, Sci-Fi, Fantasy","드라마, 스릴러, SF, 판타지",2021,45분,19,아이슬란드,7.0,17k,False,"Netflix, Netflix basic with Ads",,1.0,9 DAYS,40 DAYS,335 DAYS,Katla,tv,"Drama, Fantasy, Mystery",2021.0,tt11102190,7.0,17306.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
ojingeo-geim,OJINGEO GEIM,Squid Game,tv,"Thriller, Action, Dramas","스릴러, 액션, 드라마",2021,55분,19,대한민국,8.0,574k,False,"Netflix, Netflix basic with Ads",,1.0,80 DAYS,278 DAYS,1147 DAYS,Squid Game,tv,"Action, Drama, Mystery",2021.0,tt10919420,8.0,574216.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
misyeon-impaseobeul-polaus,미션 임파서블: 폴아웃,Mission: Impossible - Fallout,movie,"Action, Thriller, Unknown","액션, 스릴러, 유럽에서 제작",2018,2시간 27분,15,미국,7.7,386k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Christopher McQuarrie,1.0,60 DAYS,511 DAYS,2141 DAYS,Mission: Impossible - Fallout,movie,"Action, Adventure, Thriller",2018.0,tt4912910,7.7,386057.0,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BO, BR, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CZ, DE, DK, DO, DZ, EC, EG, ES, FI, FJ, FR, GF, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
save-the-children,세이브 더 칠드런: 불후의 콘서트,Save the Children,movie,"Music, Documentary","음악, 다큐멘터리",1973,1시간 39분,12+,미국,7.7,97,False,"Netflix, Netflix basic with Ads",Stan Lathan,12.0,0 DAYS,4 DAYS,12 DAYS,Save the Children,movie,"Documentary, Music",1973.0,tt0128454,7.7,97.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
we-need-to-talk-about-kevin,케빈에 대하여,We Need to Talk About Kevin,movie,"Dramas, Thriller","드라마, 스릴러",2011,1시간 53분,,"스페인, 영국, 미국",7.5,171k,True,"Netflix, wavve, Netflix basic with Ads",Lynne Ramsay,8.0,1 DAYS,25 DAYS,1442 DAYS,We Need to Talk About Kevin,movie,"Drama, Mystery, Thriller",2011.0,tt1242460,7.5,171314.0,KR
ceolyi-son,철의 손,Iron Reign,tv,"Dramas, Thriller, Crime","드라마, 스릴러, 범죄",2024,1시간 2분,19,스페인,6.4,2k,False,"Netflix, Netflix basic with Ads",,13.0,0 DAYS,11 DAYS,42 DAYS,Iron Reign,tv,"Drama, Mystery, Thriller",2024.0,tt23806252,6.4,1990.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
aiseu-eiji-jigu-daecungdol,아이스 에이지: 지구 대충돌,Ice Age: Collision Course,movie,"Comedy, Action, Anime, Family, Sci-Fi","코미디, 액션, 애니메이션, 가족, SF",2016,1시간 35분,,미국,5.7,78k,True,"wavve, Disney Plus, Netflix, Naver Store, Netflix basic with Ads",Mike Thurmeier,16.0,0 DAYS,6 DAYS,285 DAYS,Ice Age: Collision Course,movie,"Adventure, Animation, Comedy",2016.0,tt3416828,5.7,77987.0,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BO, BR, BS, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GQ, GR, GT, HN, HR, HU, ID, IE, IL, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
hancock,핸콕,Hancock,movie,"Fantasy, Action, Comedy, Dramas","판타지, 액션, 코미디, 드라마",2008,1시간 32분,,미국,6.4,520k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Peter Berg,8.0,1 DAYS,11 DAYS,465 DAYS,Hancock,movie,"Action, Comedy, Drama",2008.0,tt0448157,6.4,520107.0,"AD, AG, AL, AO, AR, BA, BB, BE, BG, BM, BO, BR, BS, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CZ, DO, DZ, EC, FR, GB, GF, GG, GH, GI, GQ, GT, HN, HR, HU, IE, IN, JM, JP, KE, KR, LC, LU, MA, MC, ME, MG, MK, ML, MU, MX, MZ, NE, NG, NI, PA, PE, PF, PK, PY, RO, RS, SC, SI, SK, SN, SV, TC, TN, TT, TZ, UG, UY, VE, ZA, ZM, ZW"
below-deck-sailing-yacht,빌로우 덱: 세일링 요트,Below Deck Sailing Yacht,tv,Reality-TV,Reality TV,2020,44분,19,미국,,,False,"Netflix, Netflix basic with Ads",,1.0,3 DAYS,6 DAYS,247 DAYS,Below Deck Sailing Yacht,tv,Reality-TV,2020.0,tt10087444,7.4,1828.0,"AD, AE, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CV, CY, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GT, HK, HN, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PY, QA, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TN, TR, TT, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
what-women-want,왓 위민 원트,What Women Want,movie,"Comedy, Romance, Fantasy","코미디, 로맨스, 판타지",2000,2시간 2분,15,"영국, 미국",6.5,226k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Nancy Meyers,41.0,0 DAYS,11 DAYS,193 DAYS,What Women Want,movie,"Comedy, Fantasy, Romance",2000.0,tt0207201,6.5,226499.0,KR
deonjeon-aen-deuraegon,던전 앤 드래곤: 도적들의 명예,Dungeons & Dragons: Honor Among Thieves,movie,"Comedy, Action, Fantasy","코미디, 액션, 판타지",2023,2시간 14분,,"미국, 캐나다",7.2,244k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store","Jonathan Goldstein , John Francis Daley",1.0,60 DAYS,378 DAYS,606 DAYS,Dungeons & Dragons: Honor Among Thieves,movie,"Action, Adventure, Comedy",2023.0,tt2906216,7.2,243778.0,"AD, AL, AO, AT, AZ, BA, BE, BG, BR, CA, CH, CI, CM, CV, CZ, DE, DK, EE, ES, FI, GH, GQ, GR, HR, HU, IN, IS, IT, JP, KE, KR, LI, LT, LU, LV, MD, ME, MG, MK, ML, MZ, NE, NG, NL, NO, NZ, PK, PL, PT, RO, RS, SC, SE, SI, SK, SM, SN, TZ, UA, UG, ZA, ZM, ZW"
deo-boi-2019,더 보이,Brightburn,movie,"Thriller, Horror, Sci-Fi, Dramas","스릴러, 공포, SF, 드라마",2019,1시간 31분,15,미국,6.1,111k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",David Yarovesky,1.0,6 DAYS,104 DAYS,742 DAYS,Brightburn,movie,"Drama, Horror, Mystery",2019.0,tt7752126,6.1,110889.0,"AD, AL, AT, AU, AZ, BA, BG, BY, CH, CZ, DE, DK, DZ, ES, FI, FR, GF, HR, HU, IN, JP, KR, LI, LU, MA, MC, MD, ME, MK, MT, MU, NL, NO, PF, PK, RO, RS, SE, SI, SK, TN, UA"
meoggo-gidohago-saranghara,먹고 기도하고 사랑하라,Eat Pray Love,movie,"Dramas, Romance","드라마, 로맨스",2010,2시간 13분,15,미국,5.8,108k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Ryan Murphy,15.0,0 DAYS,6 DAYS,240 DAYS,Eat Pray Love,movie,"Biography, Drama, Romance",2010.0,tt0879870,5.8,107998.0,"AD, AE, AG, AR, AT, AU, BB, BE, BH, BM, BO, BR, BS, BZ, CA, CH, CL, CO, CR, CU, CY, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GF, GR, GT, HK, HN, HU, ID, IQ, IS, JM, JO, JP, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MT, MU, MX, MY, NI, NL, NO, OM, PA, PE, PF, PH, PL, PS, PT, PY, QA, RO, SA, SE, SG, SV, TC, TH, TN, TR, TT, TW, US, UY, VE, YE"
resident-evil,바이오하자드: 더 시리즈,Resident Evil,tv,"Sci-Fi, Dramas, Thriller, Action, Horror","SF, 드라마, 스릴러, 액션, 공포",2022,51분,19,미국,4.2,47k,False,"Netflix, Netflix basic with Ads",,2.0,5 DAYS,33 DAYS,223 DAYS,Resident Evil,tv,"Action, Horror, Sci-Fi",2022.0,tt9660182,4.2,46888.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
a-man-in-full,어느 남자의 완전한 삶,A Man in Full,tv,Dramas,드라마,2024,45분,19,미국,6.5,14k,False,"Netflix, Netflix basic with Ads",,2.0,7 DAYS,25 DAYS,186 DAYS,A Man in Full,tv,Drama,2024.0,tt15845610,6.5,13589.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
